id;Anth;BlLS;BrLS;WhLS;Vigor45D;FrogSkin;Pod;FerSev;MosCm;MosNv;RF;AcSev
BGM-0030;BGM-0030;3.30751350764854;2.58597662545522;2.55242225286446;0.486123827959867;2.45140464129178;0.389728332638387;0.0212062430319268;0.0506959431128287;0.448575172555359;0.0262276269543012;2.53601497063127;3.08536748720021
BGM-0032;BGM-0032;2.4225703740439;3.3902278156585;3.35734244568523;0.486123827959867;2.24463622716274;0.577994271051673;0.0212062430319268;0.0506959431128287;0.00779892110622453;0.395953487985335;2.58896900606451;3.33015874239375
BGM-0061;BGM-0061;3.01253246311366;3.92639527579402;3.89395590756574;3.377609338652;1.85230600073671;0.381868409811664;0.0240509038747476;0.0506959431128287;0.00779892110622453;0.0262276269543012;1.45994621836046;3.00377040213569
BGM-0085;BGM-0085;3.30751350764854;2.85406035552298;2.82072898380472;2.41378083508796;2.15621848585992;0.446089442507269;0.0232306435726663;0.052765854870428;0.0256413792001476;0.056023553955601;1.48558897187006;3.28562640780053
BGM-0087;BGM-0087;2.4225703740439;3.12214408559074;3.08903571474497;0.96803807974189;1.95920574661135;0.384686567061546;0.0212062430319268;0.0506959431128287;0.00779892110622453;0.120038666320384;2.64362184585835;3.08536748720021
BGM-0091;BGM-0091;2.4225703740439;4.19447900586178;4.162262638506;2.17282370919695;2.27990498423526;0.505304204114189;0.0258625661093159;0.052765854870428;0.0256413792001476;0.056023553955601;2.65977053843849;3.08536748720021
BGM-0093;BGM-0093;3.30751350764854;3.12214408559074;3.08903571474497;0.96803807974189;2.34256936190566;0.383201184962801;0.0148437869384821;0.0506959431128287;0.336736422187668;0.395953487985335;2.04904125027873;3.16696457226472
BGM-0132;BGM-0132;3.01253246311366;2.58597662545522;2.55242225286446;1.2089952056329;2.8419812175526;0.384583433188957;0.0212062430319268;0.0506959431128287;0.00779892110622453;0.0262276269543012;1.58577727050323;3.16696457226472
BGM-0134;BGM-0134;3.30751350764854;3.3902278156585;3.35734244568523;1.44995233152391;2.41438223405405;0.465722622445358;0.0212062430319268;0.0519016236887896;0.000493053783344022;0.358234223752443;1.58577727050323;2.92217331707118
BGM-0140;BGM-0140;1.83260828497413;2.58597662545522;2.55242225286446;1.93186658330593;2.24463622716274;0.388501696630223;0.0198767273119781;0.0519016236887896;0.000493053783344022;-0.0114916372785904;2.64959446095362;3.57494999758729
BGM-0145;BGM-0145;3.15966283038412;3.29222327765387;3.2877641460981;1.46482559063482;2.60183141758028;0.593473769473596;0.218320601399976;0.0519016236887896;0.000493053783344022;-0.0114916372785904;2.44785228613126;2.70950906050179
BGM-0157;BGM-0157;2.86468178584924;3.56030700772163;3.55607087703836;1.46482559063482;2.24246569765743;0.386967232216877;0.135328310567526;0.0519016236887896;0.441269305232478;0.358234223752443;2.04115781741709;2.79110614556631
BGM-0187;BGM-0187;5.51951118666318;3.32706369130159;3.33901912844246;1.48537745903602;2.52406113564;0.393031638023245;0.0213268148840442;0.0519016236887896;0.000493053783344022;-0.0114916372785904;1.47071045390122;3.11749448582436
BGM-0199;BGM-0199;2.27471969677947;2.48797208745059;2.48284395327733;1.46482559063482;1.69999751136462;0.399067090349842;0.0213268148840442;0.0519016236887896;0.217591804497097;0.540338006051311;1.32213761516534;3.73186230235666
BGM-0208;BGM-0208;4.63456805305853;3.82839073778939;3.82437760797861;1.22386846474381;2.48539484509616;0.398800471938501;0.0213268148840442;0.0519016236887896;0.54652930557854;0.358234223752443;2.22395858049078;2.95430031569533
BGM-0222;BGM-0222;1.97973865224459;2.21988835738284;2.21453722233708;1.22386846474381;2.07776700229621;0.850875125894176;0.0227689403466539;-0.0129486128659427;0.00369535573839936;-0.00131919770465277;1.87023489161188;2.80461310108519
BGM-0248;BGM-0248;3.454643874919;3.56030700772163;3.2877641460981;0.982911338852799;1.8689522244354;0.388606887187501;0.025216303896917;0.0519016236887896;0.217591804497097;-0.0114916372785904;1.34453691022983;3.28068865595339
BGM-0264;BGM-0264;3.74962491945388;2.21988835738284;2.21453722233708;1.22386846474381;2.43403013542332;0.598881048687461;0.402224311848702;0.0519016236887896;0.000493053783344022;0.446526966685227;3.16791214947481;3.11749448582436
BGM-0352;BGM-0352;3.94570963323038;3.4082981543377;3.4029804871452;0.666177473151594;2.59159371239224;0.385302546326093;0.129974315965987;0.0514176299716413;0.0176814023415969;0.0316769030255626;1.78054261864848;2.87501463671791
BGM-0364;BGM-0364;2.17582336602109;3.4082981543377;3.13467375620494;1.63000597671564;2.58111752428295;0.369236031183556;0.0160631732219592;0.0514176299716413;0.0176814023415969;0.0316769030255626;1.42214690288129;2.86584945743379
BGM-0422;BGM-0422;3.06076649962574;3.14021442426994;3.4029804871452;1.63000597671564;2.01487617113424;0.354447724942765;0.0172014065114763;0.334701501890648;0.0140630544707096;0.026498636868685;2.13090124442998;2.92380253251325
